Date,3mo_Tbill
04/04/2016,0.23
04/05/2016,0.23
04/06/2016,0.23
04/07/2016,0.23
04/08/2016,0.23
04/11/2016,0.23
04/12/2016,0.22
04/13/16,0.23
04/14/16,0.22
04/15/16,0.22
04/18/16,0.22
04/19/16,0.21
04/20/16,0.23
04/21/16,0.23
04/22/16,0.23
04/25/16,0.25
04/26/16,0.24
04/27/16,0.24
04/28/16,0.22
04/29/16,0.22
05/02/2016,0.22
05/03/2016,0.21
05/04/2016,0.19
05/05/2016,0.2
05/06/2016,0.19
05/09/2016,0.24
05/10/2016,0.24
05/11/2016,0.26
05/12/2016,0.27
05/13/16,0.29
05/16/16,0.28
05/17/16,0.28
05/18/16,0.3
05/19/16,0.31
05/20/16,0.33
05/23/16,0.35
05/24/16,0.35
05/25/16,0.33
05/26/16,0.31
05/27/16,0.32
05/31/16,0.34
06/01/2016,0.3
06/02/2016,0.29
06/03/2016,0.3
06/06/2016,0.28
06/07/2016,0.28
06/08/2016,0.24
06/09/2016,0.26
06/10/2016,0.26
06/13/16,0.27
06/14/16,0.27
06/15/16,0.26
06/16/16,0.27
06/17/16,0.27
06/20/16,0.28
06/21/16,0.27
06/22/16,0.27
06/23/16,0.31
06/24/16,0.27
06/27/16,0.27
06/28/16,0.26
06/29/16,0.26
06/30/16,0.26
07/01/2016,0.28
07/05/2016,0.28
07/06/2016,0.27
07/07/2016,0.29
07/08/2016,0.28
07/11/2016,0.31
07/12/2016,0.29
07/13/16,0.31
07/14/16,0.32
07/15/16,0.32
07/18/16,0.32
07/19/16,0.31
07/20/16,0.32
07/21/16,0.32
07/22/16,0.33
07/25/16,0.32
07/26/16,0.31
07/27/16,0.31
07/28/16,0.25
07/29/16,0.28
08/01/2016,0.29
08/02/2016,0.29
08/03/2016,0.28
08/04/2016,0.26
08/05/2016,0.28
08/08/2016,0.31
08/09/2016,0.29
08/10/2016,0.28
08/11/2016,0.28
08/12/2016,0.29
08/15/16,0.31
08/16/16,0.27
08/17/16,0.3
08/18/16,0.3
08/19/16,0.3
08/22/16,0.29
08/23/16,0.3
08/24/16,0.31
08/25/16,0.33
08/26/16,0.34
08/29/16,0.33
08/30/16,0.33
08/31/16,0.33
09/01/2016,0.33
09/02/2016,0.33
09/06/2016,0.32
09/07/2016,0.34
09/08/2016,0.35
09/09/2016,0.35
09/12/2016,0.37
09/13/16,0.36
09/14/16,0.33
09/15/16,0.29
09/16/16,0.3
09/19/16,0.3
09/20/16,0.3
09/21/16,0.22
09/22/16,0.18
09/23/16,0.18
09/26/16,0.25
09/27/16,0.26
09/28/16,0.27
09/29/16,0.26
09/30/16,0.29
10/03/2016,0.32
10/04/2016,0.33
10/05/2016,0.32
10/06/2016,0.33
10/07/2016,0.33
10/11/2016,0.35
10/12/2016,0.37
10/13/16,0.3
10/14/16,0.32
10/17/16,0.34
10/18/16,0.34
10/19/16,0.35
10/20/16,0.35
10/21/16,0.34
10/24/16,0.33
10/25/16,0.34
10/26/16,0.33
10/27/16,0.3
10/28/16,0.3
10/31/16,0.34
11/01/2016,0.35
11/02/2016,0.37
11/03/2016,0.38
11/04/2016,0.38
11/07/2016,0.41
11/08/2016,0.43
11/09/2016,0.45
11/10/2016,0.48
11/14/16,0.55
11/15/16,0.51
11/16/16,0.47
11/17/16,0.44
11/18/16,0.44
11/21/16,0.46
11/22/16,0.49
11/23/16,0.51
11/25/16,0.49
11/28/16,0.48
11/29/16,0.48
11/30/16,0.48
12/01/2016,0.48
12/02/2016,0.49
12/05/2016,0.49
12/06/2016,0.49
12/07/2016,0.52
12/08/2016,0.51
12/09/2016,0.54
12/12/2016,0.51
12/13/16,0.54
12/14/16,0.55
12/15/16,0.51
12/16/16,0.51
12/19/16,0.52
12/20/16,0.52
12/21/16,0.52
