Date,3mo_Tbill
04/04/2016,0.23
05/04/2016,0.23
06/04/2016,0.23
07/04/2016,0.23
08/04/2016,0.23
11/04/2016,0.23
12/04/2016,0.22
13/04/2016,0.23
14/04/2016,0.22
15/04/2016,0.22
18/04/2016,0.22
19/04/2016,0.21
20/04/2016,0.23
21/04/2016,0.23
22/04/2016,0.23
25/04/2016,0.25
26/04/2016,0.24
27/04/2016,0.24
28/04/2016,0.22
29/04/2016,0.22
02/05/2016,0.22
03/05/2016,0.21
04/05/2016,0.19
05/05/2016,0.2
06/05/2016,0.19
09/05/2016,0.24
10/05/2016,0.24
11/05/2016,0.26
12/05/2016,0.27
13/05/2016,0.29
16/05/2016,0.28
17/05/2016,0.28
18/05/2016,0.3
19/05/2016,0.31
20/05/2016,0.33
23/05/2016,0.35
24/05/2016,0.35
25/05/2016,0.33
26/05/2016,0.31
27/05/2016,0.32
30/05/2016,.
31/05/2016,0.34
01/06/2016,0.3
02/06/2016,0.29
03/06/2016,0.3
06/06/2016,0.28
07/06/2016,0.28
08/06/2016,0.24
09/06/2016,0.26
10/06/2016,0.26
13/06/2016,0.27
14/06/2016,0.27
15/06/2016,0.26
16/06/2016,0.27
17/06/2016,0.27
20/06/2016,0.28
21/06/2016,0.27
22/06/2016,0.27
23/06/2016,0.31
24/06/2016,0.27
27/06/2016,0.27
28/06/2016,0.26
29/06/2016,0.26
30/06/2016,0.26
01/07/2016,0.28
04/07/2016,.
05/07/2016,0.28
06/07/2016,0.27
07/07/2016,0.29
08/07/2016,0.28
11/07/2016,0.31
12/07/2016,0.29
13/07/2016,0.31
14/07/2016,0.32
15/07/2016,0.32
18/07/2016,0.32
19/07/2016,0.31
20/07/2016,0.32
21/07/2016,0.32
22/07/2016,0.33
25/07/2016,0.32
26/07/2016,0.31
27/07/2016,0.31
28/07/2016,0.25
29/07/2016,0.28
01/08/2016,0.29
02/08/2016,0.29
03/08/2016,0.28
04/08/2016,0.26
05/08/2016,0.28
08/08/2016,0.31
09/08/2016,0.29
10/08/2016,0.28
11/08/2016,0.28
12/08/2016,0.29
15/08/2016,0.31
16/08/2016,0.27
17/08/2016,0.3
18/08/2016,0.3
19/08/2016,0.3
22/08/2016,0.29
23/08/2016,0.3
24/08/2016,0.31
25/08/2016,0.33
26/08/2016,0.34
29/08/2016,0.33
30/08/2016,0.33
31/08/2016,0.33
01/09/2016,0.33
02/09/2016,0.33
05/09/2016,.
06/09/2016,0.32
07/09/2016,0.34
08/09/2016,0.35
09/09/2016,0.35
12/09/2016,0.37
13/09/2016,0.36
14/09/2016,0.33
15/09/2016,0.29
16/09/2016,0.3
19/09/2016,0.3
20/09/2016,0.3
21/09/2016,0.22
22/09/2016,0.18
23/09/2016,0.18
26/09/2016,0.25
27/09/2016,0.26
28/09/2016,0.27
29/09/2016,0.26
30/09/2016,0.29
03/10/2016,0.32
04/10/2016,0.33
05/10/2016,0.32
06/10/2016,0.33
07/10/2016,0.33
10/10/2016,.
11/10/2016,0.35
12/10/2016,0.37
13/10/2016,0.3
14/10/2016,0.32
17/10/2016,0.34
18/10/2016,0.34
19/10/2016,0.35
20/10/2016,0.35
21/10/2016,0.34
24/10/2016,0.33
25/10/2016,0.34
26/10/2016,0.33
27/10/2016,0.3
28/10/2016,0.3
31/10/2016,0.34
01/11/2016,0.35
02/11/2016,0.37
03/11/2016,0.38
04/11/2016,0.38
07/11/2016,0.41
08/11/2016,0.43
09/11/2016,0.45
10/11/2016,0.48
11/11/2016,.
14/11/2016,0.55
15/11/2016,0.51
16/11/2016,0.47
17/11/2016,0.44
18/11/2016,0.44
21/11/2016,0.46
22/11/2016,0.49
23/11/2016,0.51
24/11/2016,.
25/11/2016,0.49
28/11/2016,0.48
29/11/2016,0.48
30/11/2016,0.48
01/12/2016,0.48
02/12/2016,0.49
05/12/2016,0.49
06/12/2016,0.49
07/12/2016,0.52
08/12/2016,0.51
09/12/2016,0.54
12/12/2016,0.51
13/12/2016,0.54
14/12/2016,0.55
15/12/2016,0.51
16/12/2016,0.51
19/12/2016,0.52
20/12/2016,0.52
21/12/2016,0.52
22/12/2016,0.51
23/12/2016,0.52
26/12/2016,.
27/12/2016,0.51
28/12/2016,0.53
29/12/2016,0.47
30/12/2016,0.51
02/01/2017,.
03/01/2017,0.53
04/01/2017,0.53
05/01/2017,0.52
06/01/2017,0.53
09/01/2017,0.5
10/01/2017,0.52
11/01/2017,0.52
12/01/2017,0.52
13/01/2017,0.53
16/01/2017,.
17/01/2017,0.55
18/01/2017,0.53
19/01/2017,0.52
20/01/2017,0.5
23/01/2017,0.51
24/01/2017,0.51
25/01/2017,0.5
26/01/2017,0.51
27/01/2017,0.52
30/01/2017,0.51
31/01/2017,0.52
01/02/2017,0.51
02/02/2017,0.52
03/02/2017,0.51
06/02/2017,0.53
07/02/2017,0.53
08/02/2017,0.54
09/02/2017,0.54
10/02/2017,0.55
13/02/2017,0.52
14/02/2017,0.54
15/02/2017,0.54
16/02/2017,0.53
17/02/2017,0.53
20/02/2017,.
21/02/2017,0.53
22/02/2017,0.52
23/02/2017,0.51
24/02/2017,0.52
27/02/2017,0.5
28/02/2017,0.53
01/03/2017,0.63
02/03/2017,0.67
03/03/2017,0.71
06/03/2017,0.74
07/03/2017,0.76
08/03/2017,0.73
09/03/2017,0.73
10/03/2017,0.75
13/03/2017,0.79
14/03/2017,0.78
15/03/2017,0.73
16/03/2017,0.73
17/03/2017,0.73
20/03/2017,0.76
21/03/2017,0.77
22/03/2017,0.77
23/03/2017,0.76
24/03/2017,0.78
27/03/2017,0.78
28/03/2017,0.78
29/03/2017,0.78
30/03/2017,0.78
31/03/2017,0.76
03/04/2017,0.79
04/04/2017,0.79
05/04/2017,0.8
06/04/2017,0.79
07/04/2017,0.82
10/04/2017,0.82
11/04/2017,0.82
12/04/2017,0.81
13/04/2017,0.81
14/04/2017,.
17/04/2017,0.83
18/04/2017,0.82
19/04/2017,0.81
20/04/2017,0.79
21/04/2017,0.79
24/04/2017,0.81
25/04/2017,0.82
26/04/2017,0.83
27/04/2017,0.81
28/04/2017,0.8
01/05/2017,0.83
02/05/2017,0.82
03/05/2017,0.85
04/05/2017,0.86
05/05/2017,0.9
08/05/2017,0.91
09/05/2017,0.91
10/05/2017,0.9
11/05/2017,0.89
12/05/2017,0.88
15/05/2017,0.9
16/05/2017,0.9
